ID_NO,Name_en,Region,Country,Location,Date_inscribed,Danger,Endangered Year,ÿDate_end,ÿCategory,ÿCriterion
25,Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Europe and North America,Armenia,Ontario,2000,0,,,Cultural,(ii)(iii)
26,Kakadu National Park,Asia and the Pacific,Australia,Madhya Pradesh,1981,0,,,Mixed,(i)(vi)(vii)(ix)(x)
27,Great Barrier Reef,Asia and the Pacific,Australia,Madhya Pradesh,1981,0,,,Natural,(vii)(viii)(ix)(x)
28,Sydney Opera House,Asia and the Pacific,Australia,Tokyo,2007,0,,,Cultural,(i)
29,Willandra Lakes Region,Asia and the Pacific,Australia,Ontario,1981,0,,,Mixed,(iii)(viii)
30,Tasmanian Wilderness,Asia and the Pacific,Australia,Wiltshire,1982,0,,,Mixed,(iii)(iv)(vi)(vii)(viii)(ix)(x)
31,Lord Howe Island Group,Asia and the Pacific,Australia,Uttar Pradesh,1982,0,,,Natural,(vii)(x)
32,Gondwana Rainforests of Australia,Asia and the Pacific,Australia,Bangkok,1986,0,,,Natural,(viii)(ix)(x)
33,Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,Asia and the Pacific,Australia,Agra,1987,0,,,Mixed,(v)(vi)(vii)(viii)
34,Wet Tropics of Queensland,Asia and the Pacific,Australia,Giza,1988,0,,,Natural,(vii)(viii)(ix)(x)
35,Heard and McDonald Islands,Asia and the Pacific,Australia,Madhya Pradesh,1997,0,,,Natural,(viii)(ix)
36,"Shark Bay, Western Australia",Asia and the Pacific,Australia,Queensland,1991,0,,,Natural,(vii)(viii)(ix)(x)
37,Macquarie Island,Asia and the Pacific,Australia,Wiltshire,1997,0,,,Natural,(vii)(viii)
38,Fraser Island,Asia and the Pacific,Australia,Arizona,1992,0,,,Natural,(vii)(viii)(ix)
39,Australian Fossil Mammal Sites (Riversleigh / Naracoorte),Asia and the Pacific,Australia,Wiltshire,1994,0,,,Natural,(viii)(ix)
40,Greater Blue Mountains Area,Asia and the Pacific,Australia,Wiltshire,2000,0,,,Natural,(ix)(x)
41,Purnululu National Park,Asia and the Pacific,Australia,Giza,2003,0,,,Natural,(vii)(viii)
42,Royal Exhibition Building and Carlton Gardens,Asia and the Pacific,Australia,Tokyo,2004,0,,,Cultural,(ii)
43,Australian Convict Sites,Asia and the Pacific,Australia,Tokyo,2010,0,,,Cultural,(iv)(vi)
44,Ningaloo Coast,Asia and the Pacific,Australia,Tokyo,2011,0,,,Natural,(vii)(x)
45,Budj Bim Cultural Landscape,Asia and the Pacific,Australia,Tokyo,2019,0,,,Cultural,(iii)(v)
46,Historic Centre of the City of Salzburg,Europe and North America,Austria,Tokyo,1996,0,,,Cultural,(ii)(iv)(vi)
47,Semmering Railway,Europe and North America,Austria,Cusco,1998,0,,,Cultural,(ii)(iv)
48,Palace and Gardens of Sch”nbrunn,Europe and North America,Austria,Uttar Pradesh,1996,0,,,Cultural,(i)(iv)
49,Hallstatt-Dachstein / Salzkammergut Cultural Landscape,Europe and North America,Austria,Athens,1997,0,,,Cultural,(iii)(iv)
50,City of Graz ? Historic Centre and Schloss Eggenberg,Europe and North America,Austria,Agra,1999,0,,,Cultural,(ii)(iv)
51,Wachau Cultural Landscape,Europe and North America,Austria,Agra,2000,0,,,Cultural,(ii)(iv)
52,Historic Centre of Vienna,Europe and North America,Austria,Cusco,2001,1,Y 2017,,Cultural,(ii)(iv)(vi)
53,Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Europe and North America,Azerbaijan,Madhya Pradesh,2000,0,P 2003-2009,2009,Cultural,(iv)
54,Gobustan Rock Art Cultural Landscape,Europe and North America,Azerbaijan,Wiltshire,2007,0,,,Cultural,(iii)
55,Historic Centre of Sheki with the Khan?s Palace,Europe and North America,Azerbaijan,Madhya Pradesh,2019,0,,,Cultural,(ii)(v)
56,Qal?at al-Bahrain ? Ancient Harbour and Capital of Dilmun,Arab States,Bahrain,Delhi,2005,0,,,Cultural,(ii)(iii)(iv)
57,"Pearling, Testimony of an Island Economy",Arab States,Bahrain,Wiltshire,2012,0,,,Cultural,(iii)
58,Dilmun Burial Mounds,Arab States,Bahrain,Athens,2019,0,,,Cultural,(iii)(iv)
59,Historic Mosque City of Bagerhat,Asia and the Pacific,Bangladesh,Agra,1985,0,,,Cultural,(iv)
60,Ruins of the Buddhist Vihara at Paharpur,Asia and the Pacific,Bangladesh,Wiltshire,1985,0,,,Cultural,(i)(ii)(vi)
61,The Sundarbans,Asia and the Pacific,Bangladesh,Tokyo,1997,0,,,Natural,(ix)(x)
62,Historic Bridgetown and its Garrison,Latin America and the Caribbean,Barbados,Queensland,2011,0,,,Cultural,(ii)(iii)(iv)
63,Mir Castle Complex,Europe and North America,Belarus,Tokyo,2000,0,,,Cultural,(ii)(iv)
64,"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",Europe and North America,Belarus,Arizona,2005,0,,,Cultural,(ii)(iv)(vi)
65,Flemish B‚guinages,Europe and North America,Belgium,Delhi,1998,0,,,Cultural,(ii)(iii)(iv)
66,"The Four Lifts on the Canal du Centre and their Environs, La LouviŠre and Le Roeulx (Hainaut)",Europe and North America,Belgium,Giza,1998,0,,,Cultural,(iii)(iv)
67,"La Grand-Place, Brussels",Europe and North America,Belgium,Athens,1998,0,,,Cultural,(ii)(iv)
68,Historic Centre of Brugge,Europe and North America,Belgium,Cusco,2000,0,,,Cultural,(ii)(iv)(vi)
69,Major Town Houses of the Architect Victor Horta (Brussels),Europe and North America,Belgium,Athens,2000,0,,,Cultural,(i)(ii)(iv)
70,Neolithic Flint Mines at Spiennes (Mons),Europe and North America,Belgium,Tokyo,2000,0,,,Cultural,(i)(iii)(iv)
71,Notre-Dame Cathedral in Tournai,Europe and North America,Belgium,Cusco,2000,0,,,Cultural,(ii)(iv)
72,Plantin-Moretus House-Workshops-Museum Complex,Europe and North America,Belgium,Queensland,2005,0,,,Cultural,(ii)(iii)(iv)(vi)
73,Stoclet House,Europe and North America,Belgium,Queensland,2009,0,,,Cultural,(i)(ii)
74,Major Mining Sites of Wallonia,Europe and North America,Belgium,Uttar Pradesh,2012,0,,,Cultural,(ii)(iv)
75,Belize Barrier Reef Reserve System,Latin America and the Caribbean,Belize,Uttar Pradesh,1996,0,P 2009-2018,2018,Natural,(vii)(ix)(x)
76,Royal Palaces of Abomey,Africa,Benin,Athens,1985,0,P 1985-2007,2007,Cultural,(iii)(iv)
77,City of Potos¡,Latin America and the Caribbean,Bolivia (Plurinational State of),Delhi,1987,1,Y 2014,,Cultural,(ii)(iv)(vi)
78,Jesuit Missions of the Chiquitos,Latin America and the Caribbean,Bolivia (Plurinational State of),Athens,1990,0,,,Cultural,(iv)(v)
79,Historic City of Sucre,Latin America and the Caribbean,Bolivia (Plurinational State of),Uttar Pradesh,1991,0,,,Cultural,(iv)
80,Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Latin America and the Caribbean,Bolivia (Plurinational State of),Agra,2000,0,,,Cultural,(iii)(iv)
81,Fuerte de Samaipata,Latin America and the Caribbean,Bolivia (Plurinational State of),Giza,1998,0,,,Cultural,(ii)(iii)
82,Noel Kempff Mercado National Park,Latin America and the Caribbean,Bolivia (Plurinational State of),Uttar Pradesh,2000,0,,,Natural,(ix)(x)
83,Old Bridge Area of the Old City of Mostar,Europe and North America,Bosnia and Herzegovina,Wiltshire,2005,0,,,Cultural,(vi)
84,Mehmed Pa?a Sokolovi? Bridge in Vi?egrad,Europe and North America,Bosnia and Herzegovina,Agra,2007,0,,,Cultural,(ii)(iv)
85,Tsodilo,Africa,Botswana,Delhi,2001,0,,,Cultural,(i)(iii)(vi)
86,Okavango Delta,Africa,Botswana,Delhi,2014,0,,,Natural,(vii)(ix)(x)
87,Historic Town of Ouro Preto,Latin America and the Caribbean,Brazil,Bangkok,1980,0,,,Cultural,(i)(iii)
88,Historic Centre of the Town of Olinda,Latin America and the Caribbean,Brazil,Queensland,1982,0,,,Cultural,(ii)(iv)
89,Historic Centre of Salvador de Bahia,Latin America and the Caribbean,Brazil,Bangkok,1985,0,,,Cultural,(iv)(vi)
90,Sanctuary of Bom Jesus do Congonhas,Latin America and the Caribbean,Brazil,Madhya Pradesh,1985,0,,,Cultural,(i)(iv)
91,Igua‡u National Park,Latin America and the Caribbean,Brazil,Uttar Pradesh,1986,0,P 1999-2001,2001,Natural,(vii)(x)
92,Brasilia,Latin America and the Caribbean,Brazil,Wiltshire,1987,0,,,Cultural,(i)(iv)
93,Serra da Capivara National Park,Latin America and the Caribbean,Brazil,Giza,1991,0,,,Cultural,(iii)
94,Historic Centre of S?o Lu¡s,Latin America and the Caribbean,Brazil,Giza,1997,0,,,Cultural,(iii)(iv)(v)
95,Historic Centre of the Town of Diamantina,Latin America and the Caribbean,Brazil,Ontario,1999,0,,,Cultural,(ii)(iv)
96,Discovery Coast Atlantic Forest Reserves,Latin America and the Caribbean,Brazil,Athens,1999,0,,,Natural,(ix)(x)
97,Atlantic Forest South-East Reserves,Latin America and the Caribbean,Brazil,Delhi,1999,0,,,Natural,(vii)(ix)(x)
98,Historic Centre of the Town of Goi s,Latin America and the Caribbean,Brazil,Queensland,2001,0,,,Cultural,(ii)(iv)
99,Central Amazon Conservation Complex,Latin America and the Caribbean,Brazil,Athens,2000,0,,,Natural,(ix)(x)
100,Pantanal Conservation Area,Latin America and the Caribbean,Brazil,Cusco,2000,0,,,Natural,(vii)(ix)(x)
101,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,Latin America and the Caribbean,Brazil,Athens,2001,0,,,Natural,(vii)(ix)(x)
102,Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,Latin America and the Caribbean,Brazil,Delhi,2001,0,,,Natural,(ix)(x)
103,Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,Latin America and the Caribbean,Brazil,Cusco,2012,0,,,Cultural,(v)(vi)
104,S?o Francisco Square in the Town of S?o Crist¢v?o,Latin America and the Caribbean,Brazil,Giza,2010,0,,,Cultural,(ii)(iv)
105,Paraty and Ilha Grande ? Culture and Biodiversity,Latin America and the Caribbean,Brazil,Athens,2019,0,,,Mixed,(v)(x)
106,Pampulha Modern Ensemble,Latin America and the Caribbean,Brazil,Giza,2016,0,,,Cultural,(i)(ii)(iv)
107,Valongo Wharf Archaeological Site,Latin America and the Caribbean,Brazil,Tokyo,2017,0,,,Cultural,(vi)
108,Boyana Church,Europe and North America,Bulgaria,Cusco,1979,0,,,Cultural,(ii)(iii)
109,Madara Rider,Europe and North America,Bulgaria,Agra,1979,0,,,Cultural,(i)(iii)
110,Thracian Tomb of Kazanlak,Europe and North America,Bulgaria,Agra,1979,0,,,Cultural,(i)(iii)(iv)
111,Rock-Hewn Churches of Ivanovo,Europe and North America,Bulgaria,Giza,1979,0,,,Cultural,(ii)(iii)
112,Rila Monastery,Europe and North America,Bulgaria,Ontario,1983,0,,,Cultural,(vi)
113,Ancient City of Nessebar,Europe and North America,Bulgaria,Arizona,1983,0,,,Cultural,(iii)(iv)
114,Srebarna Nature Reserve,Europe and North America,Bulgaria,Arizona,1983,0,P 1992-2003,2003,Natural,(x)
115,Pirin National Park,Europe and North America,Bulgaria,Queensland,1983,0,,,Natural,(vii)(viii)(ix)
116,Thracian Tomb of Sveshtari,Europe and North America,Bulgaria,Bangkok,1985,0,,,Cultural,(i)(iii)
117,Ruins of Lorop‚ni,Africa,Burkina Faso,Cusco,2009,0,,,Cultural,(iii)
118,Ancient ferrous metallurgy sites of Burkina Faso,Africa,Burkina Faso,Athens,2019,0,,,Cultural,(iii)(iv)(vi)
119,"Cidade Velha, Historic Centre of Ribeira Grande",Africa,Cabo Verde,Uttar Pradesh,2009,0,,,Cultural,(ii)(iii)(vi)
120,Angkor,Asia and the Pacific,Cambodia,Delhi,1992,0,P 1992-2004,2004,Cultural,(i)(ii)(iii)(iv)
121,Temple of Preah Vihear,Asia and the Pacific,Cambodia,Delhi,2008,0,,,Cultural,(i)
122,"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Asia and the Pacific,Cambodia,Ontario,2017,0,,,Cultural,(ii)(iii)(vi)
123,Dja Faunal Reserve,Africa,Cameroon,Arizona,1987,0,,,Natural,(ix)(x)
124,L?Anse aux Meadows National Historic Site,Europe and North America,Canada,Queensland,1978,0,,,Cultural,(vi)
125,Nahanni National Park,Europe and North America,Canada,Ontario,1978,0,,,Natural,(vii)(viii)
126,Dinosaur Provincial Park,Europe and North America,Canada,Madhya Pradesh,1979,0,,,Natural,(vii)(viii)
127,S<U>G</U>ang Gwaay,Europe and North America,Canada,Madhya Pradesh,1981,0,,,Cultural,(iii)
128,Head-Smashed-In Buffalo Jump,Europe and North America,Canada,Tokyo,1981,0,,,Cultural,(vi)
129,Wood Buffalo National Park,Europe and North America,Canada,Ontario,1983,0,,,Natural,(vii)(ix)(x)
130,Historic District of Old Qu‚bec,Europe and North America,Canada,Wiltshire,1985,0,,,Cultural,(iv)(vi)
131,Canadian Rocky Mountain Parks,Europe and North America,Canada,Uttar Pradesh,1984,0,,,Natural,(vii)(viii)
132,Gros Morne National Park,Europe and North America,Canada,Bangkok,1987,0,,,Natural,(vii)(viii)
133,Miguasha National Park,Europe and North America,Canada,Agra,1999,0,,,Natural,(viii)
134,Old Town Lunenburg,Europe and North America,Canada,Giza,1995,0,,,Cultural,(iv)(v)
135,Rideau Canal,Europe and North America,Canada,Madhya Pradesh,2007,0,,,Cultural,(i)(iv)
136,Joggins Fossil Cliffs,Europe and North America,Canada,Queensland,2008,0,,,Natural,(viii)
137,Landscape of Grand Pr‚,Europe and North America,Canada,Wiltshire,2012,0,,,Cultural,(v)(vi)
138,Red Bay Basque Whaling Station,Europe and North America,Canada,Arizona,2013,0,,,Cultural,(iii)(iv)
139,Pimachiowin Aki,Europe and North America,Canada,Wiltshire,2018,0,,,Mixed,(iii)(vi)(ix)
140,Mistaken Point,Europe and North America,Canada,Wiltshire,2016,0,,,Natural,(viii)
141,Writing-on-Stone / ?¡s¡nai?pi,Europe and North America,Canada,Giza,2019,0,,,Cultural,(iii)
142,Manovo-Gounda St Floris National Park,Africa,Central African Republic,Tokyo,1988,1,Y 1997,,Natural,(ix)(x)
143,Lakes of Ounianga,Africa,Chad,Tokyo,2012,0,,,Natural,(vii)
144,Ennedi Massif: Natural and Cultural Landscape,Africa,Chad,Tokyo,2016,0,,,Mixed,(iii)(vii)(ix)
145,Rapa Nui National Park,Latin America and the Caribbean,Chile,Tokyo,1995,0,,,Cultural,(i)(iii)(v)
146,Historic Quarter of the Seaport City of Valpara¡so,Latin America and the Caribbean,Chile,Tokyo,2003,0,,,Cultural,(iii)
147,Churches of Chilo‚,Latin America and the Caribbean,Chile,Cusco,2000,0,,,Cultural,(ii)(iii)
148,Humberstone and Santa Laura Saltpeter Works,Latin America and the Caribbean,Chile,Uttar Pradesh,2005,0,P 2005-2019,2019,Cultural,(ii)(iii)(iv)
149,Sewell Mining Town,Latin America and the Caribbean,Chile,Athens,2006,0,,,Cultural,(ii)
150,Mount Taishan,Asia and the Pacific,China,Agra,1987,0,,,Mixed,(i)(ii)(iii)(iv)(v)(vi)(vii)
151,The Great Wall,Asia and the Pacific,China,Agra,1987,0,,,Cultural,(i)(ii)(iii)(iv)(vi)
152,Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,Asia and the Pacific,China,Cusco,1987,0,,,Cultural,(i)(ii)(iii)(iv)
153,Mogao Caves,Asia and the Pacific,China,Madhya Pradesh,1987,0,,,Cultural,(i)(ii)(iii)(iv)(v)(vi)
154,Mausoleum of the First Qin Emperor,Asia and the Pacific,China,Wiltshire,1987,0,,,Cultural,(i)(iii)(iv)(vi)
155,Peking Man Site at Zhoukoudian,Asia and the Pacific,China,Madhya Pradesh,1987,0,,,Cultural,(iii)(vi)
156,Mount Huangshan,Asia and the Pacific,China,Delhi,1990,0,,,Mixed,(ii)(vii)(x)
157,Jiuzhaigou Valley Scenic and Historic Interest Area,Asia and the Pacific,China,Wiltshire,1992,0,,,Natural,(vii)
158,Huanglong Scenic and Historic Interest Area,Asia and the Pacific,China,Athens,1992,0,,,Natural,(vii)
159,Wulingyuan Scenic and Historic Interest Area,Asia and the Pacific,China,Agra,1992,0,,,Natural,(vii)
160,"Mountain Resort and its Outlying Temples, Chengde",Asia and the Pacific,China,Wiltshire,1994,0,,,Cultural,(ii)(iv)
161,Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,Asia and the Pacific,China,Tokyo,1994,0,,,Cultural,(i)(iv)(vi)
162,Ancient Building Complex in the Wudang Mountains,Asia and the Pacific,China,Queensland,1994,0,,,Cultural,(i)(ii)(vi)
163,"Historic Ensemble of the Potala Palace, Lhasa",Asia and the Pacific,China,Tokyo,1994,0,,,Cultural,(i)(iv)(vi)
164,Lushan National Park,Asia and the Pacific,China,Arizona,1996,0,,,Cultural,(ii)(iii)(iv)(vi)
165,"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",Asia and the Pacific,China,Delhi,1996,0,,,Mixed,(iv)(vi)(x)
166,Old Town of Lijiang,Asia and the Pacific,China,Giza,1997,0,,,Cultural,(ii)(iv)(v)
167,Ancient City of Ping Yao,Asia and the Pacific,China,Athens,1997,0,,,Cultural,(ii)(iii)(iv)
168,Classical Gardens of Suzhou,Asia and the Pacific,China,Cusco,1997,0,,,Cultural,(i)(ii)(iii)(iv)(v)
169,"Summer Palace, an Imperial Garden in Beijing",Asia and the Pacific,China,Athens,1998,0,,,Cultural,(i)(ii)(iii)
170,Temple of Heaven: an Imperial Sacrificial Altar in Beijing,Asia and the Pacific,China,Tokyo,1998,0,,,Cultural,(i)(ii)(iii)
171,Mount Wuyi,Asia and the Pacific,China,Cusco,1999,0,,,Mixed,(iii)(vi)(vii)(x)
172,Dazu Rock Carvings,Asia and the Pacific,China,Queensland,1999,0,,,Cultural,(i)(ii)(iii)
173,Mount Qingcheng and the Dujiangyan Irrigation System,Asia and the Pacific,China,Queensland,2000,0,,,Cultural,(ii)(iv)(vi)
174,Ancient Villages in Southern Anhui ? Xidi and Hongcun,Asia and the Pacific,China,Uttar Pradesh,2000,0,,,Cultural,(iii)(iv)(v)
175,Longmen Grottoes,Asia and the Pacific,China,Uttar Pradesh,2000,0,,,Cultural,(i)(ii)(iii)
176,Imperial Tombs of the Ming and Qing Dynasties,Asia and the Pacific,China,Athens,2000,0,,,Cultural,(i)(ii)(iii)(iv)(vi)
177,Yungang Grottoes,Asia and the Pacific,China,Delhi,2001,0,,,Cultural,(i)(ii)(iii)(iv)
178,Three Parallel Rivers of Yunnan Protected Areas,Asia and the Pacific,China,Athens,2003,0,,,Natural,(vii)(viii)(ix)(x)
179,Historic Centre of Macao,Asia and the Pacific,China,Uttar Pradesh,2005,0,,,Cultural,(ii)(iii)(iv)(vi)
180,Cultural Landscape of Honghe Hani Rice Terraces,Asia and the Pacific,China,Agra,2013,0,,,Cultural,(iii)(v)
181,Kaiping Diaolou and Villages,Asia and the Pacific,China,Giza,2007,0,,,Cultural,(ii)(iii)(iv)
182,Fujian <em>Tulou</em>,Asia and the Pacific,China,Uttar Pradesh,2008,0,,,Cultural,(iii)(iv)(v)
183,Yin Xu,Asia and the Pacific,China,Wiltshire,2006,0,,,Cultural,(ii)(iii)(iv)(vi)
184,Capital Cities and Tombs of the Ancient Koguryo Kingdom,Asia and the Pacific,China,Agra,2004,0,,,Cultural,(i)(ii)(iii)(iv)(v)
185,"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains ",Asia and the Pacific,China,Delhi,2006,0,,,Natural,(x)
186,South China Karst,Asia and the Pacific,China,Delhi,2007,0,,,Natural,(vii)(viii)
187,Mount Wutai,Asia and the Pacific,China,Bangkok,2009,0,,,Cultural,(ii)(iii)(iv)(vi)
188,Mount Sanqingshan National Park,Asia and the Pacific,China,Queensland,2008,0,,,Natural,(vii)
189,Historic Monuments of Dengfeng in ?The Centre of Heaven and Earth?,Asia and the Pacific,China,Bangkok,2010,0,,,Cultural,(iii)(vi)
190,West Lake Cultural Landscape of Hangzhou,Asia and the Pacific,China,Madhya Pradesh,2011,0,,,Cultural,(ii)(iii)(vi)
191,China Danxia,Asia and the Pacific,China,Uttar Pradesh,2010,0,,,Natural,(vii)(viii)
192,Chengjiang Fossil Site,Asia and the Pacific,China,Wiltshire,2012,0,,,Natural,(viii)
193,Site of Xanadu,Asia and the Pacific,China,Giza,2012,0,,,Cultural,(ii)(iii)(iv)(vi)
194,Xinjiang Tianshan,Asia and the Pacific,China,Giza,2013,0,,,Natural,(vii)(ix)
195,The Grand Canal,Asia and the Pacific,China,Ontario,2014,0,,,Cultural,(i)(iii)(iv)(vi)
196,Tusi Sites,Asia and the Pacific,China,Athens,2015,0,,,Cultural,(ii)(iii)
197,Zuojiang Huashan Rock Art Cultural Landscape,Asia and the Pacific,China,Delhi,2016,0,,,Cultural,(iii)(vi)
198,Hubei Shennongjia,Asia and the Pacific,China,Queensland,2016,0,,,Natural,(ix)(x)
199,Qinghai Hoh Xil,Asia and the Pacific,China,Athens,2017,0,,,Natural,(vii)(x)
200,"Kulangsu, a Historic International Settlement",Asia and the Pacific,China,Cusco,2017,0,,,Cultural,(ii)(iv)
201,Fanjingshan,Asia and the Pacific,China,Athens,2018,0,,,Natural,(x)
202,Archaeological Ruins of Liangzhu City,Asia and the Pacific,China,Delhi,2019,0,,,Cultural,(iii)(iv)
203,Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China (Phase I),Asia and the Pacific,China,Cusco,2019,0,,,Natural,(x)
204,"Port, Fortresses and Group of Monuments, Cartagena",Latin America and the Caribbean,Colombia,Giza,1984,0,,,Cultural,(iv)(vi)
205,Los Kat¡os National Park,Latin America and the Caribbean,Colombia,Athens,1994,0,P 2009-2015,2015,Natural,(ix)(x)
206,Historic Centre of Santa Cruz de Mompox,Latin America and the Caribbean,Colombia,Giza,1995,0,,,Cultural,(iv)(v)
207,National Archeological Park of Tierradentro,Latin America and the Caribbean,Colombia,Tokyo,1995,0,,,Cultural,(iii)
208,San Agust¡n Archaeological Park,Latin America and the Caribbean,Colombia,Cusco,1995,0,,,Cultural,(iii)
209,Coffee Cultural Landscape of Colombia,Latin America and the Caribbean,Colombia,Agra,2011,0,,,Cultural,(v)(vi)
210,Chiribiquete National Park ? ?The Maloca of the Jaguar?,Latin America and the Caribbean,Colombia,Agra,2018,0,,,Mixed,(iii)(ix)(x)
211,Malpelo Fauna and Flora Sanctuary,Latin America and the Caribbean,Colombia,Giza,2006,0,,,Natural,(vii)(ix)
212,Cocos Island National Park,Latin America and the Caribbean,Costa Rica,Ontario,1997,0,,,Natural,(ix)(x)
213,Area de Conservaci¢n Guanacaste,Latin America and the Caribbean,Costa Rica,Arizona,1999,0,,,Natural,(ix)(x)
214,Precolumbian Chiefdom Settlements with Stone Spheres of the Diqu¡s,Latin America and the Caribbean,Costa Rica,Arizona,2014,0,,,Cultural,(iii)
215,Ta‹ National Park,Africa,C“te d'Ivoire,Queensland,1982,0,,,Natural,(vii)(x)
216,Como‚ National Park,Africa,C“te d'Ivoire,Bangkok,1983,0,P 2003-2017,2017,Natural,(ix)(x)
217,Historic Town of Grand-Bassam,Africa,C“te d'Ivoire,Cusco,2012,0,,,Cultural,(iii)(iv)
218,Old City of Dubrovnik,Europe and North America,Croatia,Athens,1979,0,P 1991-1998,1998,Cultural,(i)(iii)(iv)
219,Historical Complex of Split with the Palace of Diocletian,Europe and North America,Croatia,Uttar Pradesh,1979,0,,,Cultural,(ii)(iii)(iv)
220,Plitvice Lakes National Park,Europe and North America,Croatia,Delhi,1979,0,P 1992-1997,1997,Natural,(vii)(viii)(ix)
221,Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Pore?,Europe and North America,Croatia,Delhi,1997,0,,,Cultural,(ii)(iii)(iv)
222,Historic City of Trogir,Europe and North America,Croatia,Ontario,1997,0,,,Cultural,(ii)(iv)
223,The Cathedral of St James in ?ibenik,Europe and North America,Croatia,Arizona,2000,0,,,Cultural,(i)(ii)(iv)
224,Stari Grad Plain,Europe and North America,Croatia,Queensland,2008,0,,,Cultural,(ii)(iii)(v)
225,Old Havana and its Fortification System,Latin America and the Caribbean,Cuba,Ontario,1982,0,,,Cultural,(iv)(v)
226,Trinidad and the Valley de los Ingenios,Latin America and the Caribbean,Cuba,Madhya Pradesh,1988,0,,,Cultural,(iv)(v)
227,Alejandro de Humboldt National Park,Latin America and the Caribbean,Cuba,Madhya Pradesh,2001,0,,,Natural,(ix)(x)
228,Vi¤ales Valley,Latin America and the Caribbean,Cuba,Tokyo,1999,0,,,Cultural,(iv)
229,"San Pedro de la Roca Castle, Santiago de Cuba",Latin America and the Caribbean,Cuba,Ontario,1997,0,,,Cultural,(iv)(v)
